objectid,format,title,filename,hostInstitution,location,longitude,latitude,ISSN (print or generic),ESSN (online),lastIssueDate,ledBy
demo_022,record,"McGill Journal of Human Behaviour, The",https://mcgillhumanbehaviour.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,undergraduate
demo_023,record,McGill Journal of Law and Health (MJLH),https://mjlh.mcgill.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,1920-4825,1920-4833,2021,"student, unclear"
demo_024,record,McGill Journal of Medicine (MJM),http://www.mjmmed.com/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,1715-8125,1201-026X,2022,"graduate
 undergraduate"
demo_025,record,McGill Journal of Political Studies (MJPS),https://mjps.ssmu.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,2291-5648,,2022,undergraduate
demo_026,record,McGill Law Journal,https://lawjournal.mcgill.ca/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,0024-9041,1920-6356,2021,"student, unclear"
demo_027,record,McGill Science Udergraduate Research Journal,https://www.msurj.com/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,1718-0775,1718-0783,2022,undergraduate
demo_028,record,McGill's Undergraduate Journal of Feminist Studies,https://mjfs-mcgill.weebly.com/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,undergraduate
demo_029,record,Orientations: McGill University's East Asian Studies Journal,https://orientations.press/,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,undergraduate
demo_030,record,PSI Journal,https://www.mpsamcgill.com/psi-journal,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,1929-2406,1929-2414,2022,undergraduate
demo_031,record,Verstehen: McGill University's Undergraduate Journal of Sociology,https://www.mcgillsociology.ca/journals,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,undergraduate
demo_032,record,Vielfalt: A McGill German Studies Student Journal / Eine Studentenzeitschrift der McGill Germanistik / Revue étudiante d'études allemandes à McGill,https://issuu.com/gsamcgill,McGill University,"Montreal, Quebec",45.50492002,-73.57667904,unknown,,2022,undergraduate
demo_033,record,Aletheia,https://journals.mcmaster.ca/aletheia,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,2563-9846,,2022,undergraduate
demo_034,record,"Child Health Interdisciplinary Literature and Discovery (CHILD), The",https://journals.mcmaster.ca/child/,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,unknown,,2022,undergraduate
demo_035,record,Global Health: Annual Review (GHAR),https://journals.mcmaster.ca/ghar,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,2561-1313,,2021,"student, unclear"
demo_036,record,McMaster Journal of Communication,https://journals.mcmaster.ca/mjc,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,1710-257X,,2022,graduate
demo_037,record,McMaster Undergraduate Journal of Social Psychology (MUJSP),ttps://journals.mcmaster.ca/mujsp,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,2563-4763,,2022,undergraduate
demo_038,record,McMaster University Medical Journal (MUMJ),https://journals.mcmaster.ca/mumj,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,1927-2413,1927-2421,2022,"student, unclear"
demo_039,record,"Meducator, The",https://journals.mcmaster.ca/meducator,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,1929-4220,1929-4239,2021,undergraduate
demo_040,record,"Psynapse: McMaster Undergraduate Journal of Psychology, Neuroscience, and Behaviour",https://journals.mcmaster.ca/mujpnb,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,unknown,,2022,undergraduate
demo_041,record,Sciential: McMaster Undergraduate Science Journal,https://journals.mcmaster.ca/sciential,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,2562-1483,,2022,undergraduate
demo_042,record,SciWise,https://journals.mcmaster.ca/sw/,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,unknown,,2022,undergraduate
demo_043,record,Spectrum,https://journals.mcmaster.ca/spectrum,McMaster University,"Hamilton, Ontario",43.25856931,-79.86642025,unknown,,2022,undergraduate
demo_044,record,Codgito: Student Journal of Philosophy and Theory,https://journals.library.mun.ca/ojs/index.php/codgito,Memorial University of Newfoundland,"St. John's, Newfoundland and Labrador",47.57444465,-52.73138993,,2816-6884,2022,undergraduate
demo_045,record,Mount Royal Undergraduate Humanities Review (MRUHR),https://mrujs.mtroyal.ca/index.php/mruhr,Mount Royal University,"Calgary, Alberta",51.01129133,-114.1311003,2562-4733,,2021,undergraduate
demo_046,record,Federalism-E,http://ojs.library.queensu.ca/index.php/FedE,Queen's University,"Kingston, Ontario",44.22541017,-76.49465841,2562-3435,,2022,undergraduate
demo_047,record,JUEPPEQ,https://ojs.library.queensu.ca/index.php/JUEPPEQ,Queen's University,"Kingston, Ontario",44.22541017,-76.49465841,2563-917X,,2022,undergraduate
demo_048,record,Queen’s Science Undergraduate Research Journal (QSURJ),http://ojs.library.queensu.ca/index.php/qsurj,Queen's University,"Kingston, Ontario",44.22541017,-76.49465841,unknown,,2021,undergraduate
demo_049,record,Canadian Undergraduate Journal of Cognitive Science (CUJCS),https://cujcs.ca/,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,1499-7487,,2022,undergraduate
demo_050,record,Confluence,https://journals.lib.sfu.ca/index.php/confluence,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,unknown,,2021,"student, unclear"
demo_051,record,Gadfly,https://journals.lib.sfu.ca/index.php/gadfly,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,unknown,,2021,undergraduate
demo_052,record,"Lyre Magazine, The",https://journals.lib.sfu.ca/index.php/lyre,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,unknown,,2021,undergraduate
demo_053,record,SFU Educational Review,http://journals.sfu.ca/sfuer/index.php/sfuer,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,1916-050X,,2021,graduate
demo_054,record,SFU Health Sciences Undergraduate Journal,https://journals.lib.sfu.ca/index.php/healthsciences,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,unknown,,2022,undergraduate
demo_055,record,SFU Science Undergraduate Research Journal,http://journals.sfu.ca/sfusurj/index.php/journal,Simon Fraser University,"Vancouver, British Columbia",49.27920056,-122.9194392,2371-4344,,2021,undergraduate
demo_056,record,"Éditions Thémis, Les",https://ssl.editionsthemis.com/,Université de Montréal,"Montreal, Quebec",45.50577347,-73.61333005,unknown,,2021,"student, unclear"
demo_057,record,Fémur,https://revuefemur.com/index.php/la-revue/,Université de Montréal,"Montreal, Quebec",45.50577347,-73.61333005,2563-6812,,2022,"student, unclear"
demo_058,record,"Harbour, The",https://udemegss.wordpress.com/about-the-harbour/,Université de Montréal,"Montreal, Quebec",45.50577347,-73.61333005,2563-7045,2563-7053,2022,graduate
demo_059,record,Ithaque,http://www.revueithaque.org/,Université de Montréal,"Montreal, Quebec",45.50577347,-73.61333005,1703-1001,1916-260X,2022,"student, unclear"
demo_060,record,"Artillerie, s'armer de théâtre",https://revueartillerie.wixsite.com/artillerie,Université du Québec à Montréal,"Montreal, Quebec",45.51341646,-73.559616,2371-1167,,2021,"student, unclear"
demo_061,record,COMMposite,http://www.commposite.org/index.php/revue,Université du Québec à Montréal,"Montreal, Quebec",45.51341646,-73.559616,1206-9256,,2022,"student, unclear"
demo_062,record,Ex_situ,https://revueexsitu.com/,Université du Québec à Montréal,"Montreal, Quebec",45.51341646,-73.559616,1710-3193,,2022,"student, unclear"
demo_063,record,Postures,http://revuepostures.com/,Université du Québec à Montréal,"Montreal, Quebec",45.51341646,-73.559616,1496-7715,1496-7715,2022,"student, unclear"
demo_064,record,Sessions Sociologiques,https://sessionssociologiques.com/,Université du Québec à Montréal,"Montreal, Quebec",45.51341646,-73.559616,,2291-0549,2022,"student, unclear"
demo_065,record,"Connections: Journal of language, media and culture",https://connectionsjournal.ca/index.php/connections,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2563-6715,,2021,graduate
demo_066,record,Constellations,https://journals.library.ualberta.ca/constellations,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2562-0509,,2022,undergraduate
demo_067,record,Crossings: an Undergraduate Arts Journal,https://crossingsjournal.ca/index.php/crossings,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2816-5195,2816-5209,2022,undergraduate
demo_068,record,Eureka,https://journals.library.ualberta.ca/eureka/index.php/eureka/index,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,1923-1520,,2022,undergraduate
demo_069,record,Health Science Inquiry,https://healthscienceinquiry.com/index.php/his,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2562-7791,,2021,graduate
demo_070,record,Intonations,https://intonationsjournal.ca/index.php/intonations/,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2562-0479,,2021,graduate
demo_071,record,Invoke,https://journals.library.ualberta.ca/invoke,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,1927-7091,,2022,undergraduate
demo_072,record,Past Imperfect,https://journals.library.ualberta.ca/pi,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,1718-4487,,2022,graduate
demo_073,record,Pathfinder,https://pathfinderjournal.ca/index.php/pathfinder,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2563-2493,,2022,graduate
demo_074,record,Political Science Undergraduate Review (PSUR),https://journals.library.ualberta.ca/psur,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2562-1289,,2022,undergraduate
demo_075,record,Spectrum,https://spectrumjournal.ca/index.php/spectrum,University of Alberta,"Edmonton, Alberta",53.7528549,-113.5712941,2561-7842,,2022,undergraduate
